state,age_group,disability_type,support_class,participant_count,average_support_budget,utilisation_rate,active_provider_count,payment_amount,participant_to_provider_ratio,utilisation_gap,payment_per_participant,access_gap_score,access_risk
ACT,0 to 8,ABI,Unknown,6,0,50,1.0,0.0,6.0,50,0.0,0.671943972835314,High Risk
ACT,0 to 8,Autism,Unknown,8,0,50,120.0,0.0,0.06666666666666667,50,0.0,0.35660016977928694,Low Risk
ACT,0 to 8,Cerebral Palsy,Unknown,8,0,50,8.0,0.0,1.0,50,0.0,0.5749151103565365,Medium Risk
ACT,0 to 8,Developmental delay,Unknown,8,0,50,98.0,0.0,0.08163265306122448,50,0.0,0.3722623089983022,Low Risk
ACT,0 to 8,Down Syndrome,Unknown,8,0,50,12.0,0.0,0.6666666666666666,50,0.0,0.5460738539898132,Medium Risk
ACT,0 to 8,DsbltyGrp_Missing,Unknown,6,0,50,1.0,0.0,6.0,50,0.0,0.671943972835314,High Risk
ACT,0 to 8,Global developmental delay,Unknown,8,0,50,52.0,0.0,0.15384615384615385,50,0.0,0.4205857385398981,Low Risk
ACT,0 to 8,Hearing Impairment,Unknown,8,0,50,14.0,0.0,0.5714285714285714,50,0.0,0.5311757215619695,Medium Risk
ACT,0 to 8,Intellectual Disability,Unknown,8,0,50,40.0,0.0,0.2,50,0.0,0.44656196943972837,Medium Risk
ACT,0 to 8,Other,Unknown,8,0,50,1.0,0.0,8.0,50,0.0,0.6941001697792869,High Risk
ACT,0 to 8,Other Neurological,Unknown,8,0,50,14.0,0.0,0.5714285714285714,50,0.0,0.5311757215619695,Medium Risk
ACT,0 to 8,Other Physical,Unknown,8,0,50,1.0,0.0,8.0,50,0.0,0.6941001697792869,High Risk
ACT,0 to 8,Other Sensory/Speech,Unknown,6,0,50,1.0,0.0,6.0,50,0.0,0.671943972835314,High Risk
ACT,0 to 8,Stroke,Unknown,6,0,50,1.0,0.0,6.0,50,0.0,0.671943972835314,High Risk
ACT,0 to 8,Visual Impairment,Unknown,8,0,50,8.0,0.0,1.0,50,0.0,0.5749151103565365,Medium Risk
ACT,15 to 18,ABI,Unknown,8,0,50,4.0,0.0,2.0,50,0.0,0.622474533106961,High Risk
ACT,15 to 18,Autism,Unknown,12,0,50,186.0,0.0,0.06451612903225806,50,0.0,0.35469015280135824,Low Risk
ACT,15 to 18,Cerebral Palsy,Unknown,8,0,50,24.0,0.0,0.3333333333333333,50,0.0,0.48877334465195243,Medium Risk
ACT,15 to 18,Down Syndrome,Unknown,8,0,50,12.0,0.0,0.6666666666666666,50,0.0,0.5460738539898132,Medium Risk
ACT,15 to 18,DsbltyGrp_Missing,Unknown,6,0,50,1.0,0.0,6.0,50,0.0,0.671943972835314,High Risk
ACT,15 to 18,Hearing Impairment,Unknown,8,0,50,4.0,0.0,2.0,50,0.0,0.622474533106961,High Risk
ACT,15 to 18,Intellectual Disability,Unknown,8,0,50,144.0,0.0,0.05555555555555555,50,0.0,0.3443760611205433,Low Risk
ACT,15 to 18,Other,Unknown,6,0,50,1.0,0.0,6.0,50,0.0,0.671943972835314,High Risk
ACT,15 to 18,Other Neurological,Unknown,8,0,50,12.0,0.0,0.6666666666666666,50,0.0,0.5460738539898132,Medium Risk
ACT,15 to 18,Other Physical,Unknown,8,0,50,1.0,0.0,8.0,50,0.0,0.6941001697792869,High Risk
ACT,15 to 18,Other Sensory/Speech,Unknown,8,0,50,4.0,0.0,2.0,50,0.0,0.622474533106961,High Risk
ACT,15 to 18,Psychosocial disability,Unknown,6,0,50,12.0,0.0,0.5,50,0.0,0.5223896434634975,Medium Risk
ACT,15 to 18,Spinal Cord Injury,Unknown,8,0,50,1.0,0.0,8.0,50,0.0,0.6941001697792869,High Risk
ACT,15 to 18,Visual Impairment,Unknown,8,0,50,1.0,0.0,8.0,50,0.0,0.6941001697792869,High Risk
