RprtDt,SuppClass,SuppCatNm,SuppItemNmbr,SuppItemDesc,RsdsInStateCd,RsdsInSrvcDstrctNm,NDISDsbltyGrpNm,NDIAAgeBnd,PmtAmt,CountOfParticipants
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,ALL,ALL,9028315000,737282
31-Dec-25,Capital,ALL,ALL,ALL,ALL,ALL,ALL,ALL,1419899000,86369
31-Dec-25,Core,ALL,ALL,ALL,ALL,ALL,ALL,ALL,38509796000,552928
31-Dec-25,Missing,ALL,ALL,ALL,ALL,ALL,ALL,ALL,3716000,290973
31-Dec-25,Capital,Assistive Technology,ALL,ALL,ALL,ALL,ALL,ALL,789391000,75596
31-Dec-25,Capacity Building,CB Choice and Control,ALL,ALL,ALL,ALL,ALL,ALL,645490000,530301
31-Dec-25,Capacity Building,CB Daily Activity,ALL,ALL,ALL,ALL,ALL,ALL,5790549000,669675
31-Dec-25,Capacity Building,CB Employment,ALL,ALL,ALL,ALL,ALL,ALL,177050000,21800
31-Dec-25,Capacity Building,CB Health and Wellbeing,ALL,ALL,ALL,ALL,ALL,ALL,26683000,13823
31-Dec-25,Capacity Building,CB Home Living,ALL,ALL,ALL,ALL,ALL,ALL,1216000,639
31-Dec-25,Capacity Building,CB Lifelong Learning,ALL,ALL,ALL,ALL,ALL,ALL,352000,104
31-Dec-25,Capacity Building,CB Relationships,ALL,ALL,ALL,ALL,ALL,ALL,954703000,90569
31-Dec-25,Capacity Building,CB Social Community and Civic Participation,ALL,ALL,ALL,ALL,ALL,ALL,233283000,47955
31-Dec-25,Core,Consumables,ALL,ALL,ALL,ALL,ALL,ALL,620377000,268074
31-Dec-25,Core,Daily Activities,ALL,ALL,ALL,ALL,ALL,ALL,25446659000,408096
31-Dec-25,Capital,Home Modifications,ALL,ALL,ALL,ALL,ALL,ALL,630508000,22776
31-Dec-25,Missing,Missing,ALL,ALL,ALL,ALL,ALL,ALL,3716000,290973
31-Dec-25,Core,Social Community and Civic Participation,ALL,ALL,ALL,ALL,ALL,ALL,11563196000,358148
31-Dec-25,Capacity Building,Support Coordination,ALL,ALL,ALL,ALL,ALL,ALL,1198990000,332684
31-Dec-25,Core,Transport,ALL,ALL,ALL,ALL,ALL,ALL,879563000,267510
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ALL,ALL,ALL,127233000,11745
31-Dec-25,Capacity Building,ALL,ALL,ALL,Missing,ALL,ALL,ALL,863000,169
31-Dec-25,Capacity Building,ALL,ALL,ALL,NSW,ALL,ALL,ALL,2720276000,216477
31-Dec-25,Capacity Building,ALL,ALL,ALL,NT,ALL,ALL,ALL,108521000,6733
31-Dec-25,Capacity Building,ALL,ALL,ALL,OT,ALL,ALL,ALL,1721000,87
31-Dec-25,Capacity Building,ALL,ALL,ALL,QLD,ALL,ALL,ALL,1805332000,158695
31-Dec-25,Capacity Building,ALL,ALL,ALL,SA,ALL,ALL,ALL,764288000,63505
31-Dec-25,Capacity Building,ALL,ALL,ALL,TAS,ALL,ALL,ALL,167257000,15605
31-Dec-25,Capacity Building,ALL,ALL,ALL,VIC,ALL,ALL,ALL,2459711000,199604
31-Dec-25,Capacity Building,ALL,ALL,ALL,WA,ALL,ALL,ALL,873112000,64662
31-Dec-25,Capital,ALL,ALL,ALL,ACT,ALL,ALL,ALL,17651000,1188
31-Dec-25,Capital,ALL,ALL,ALL,Missing,ALL,ALL,ALL,n/a,<11
31-Dec-25,Capital,ALL,ALL,ALL,NSW,ALL,ALL,ALL,427974000,26017
31-Dec-25,Capital,ALL,ALL,ALL,NT,ALL,ALL,ALL,13626000,847
31-Dec-25,Capital,ALL,ALL,ALL,OT,ALL,ALL,ALL,n/a,<11
31-Dec-25,Capital,ALL,ALL,ALL,QLD,ALL,ALL,ALL,339104000,18520
31-Dec-25,Capital,ALL,ALL,ALL,SA,ALL,ALL,ALL,107880000,7441
31-Dec-25,Capital,ALL,ALL,ALL,TAS,ALL,ALL,ALL,26115000,1923
31-Dec-25,Capital,ALL,ALL,ALL,VIC,ALL,ALL,ALL,353239000,21818
31-Dec-25,Capital,ALL,ALL,ALL,WA,ALL,ALL,ALL,134171000,8602
31-Dec-25,Core,ALL,ALL,ALL,Missing,ALL,ALL,ALL,n/a,<11
31-Dec-25,Core,ALL,ALL,ALL,ACT,ALL,ALL,ALL,561239000,8637
31-Dec-25,Core,ALL,ALL,ALL,Missing,ALL,ALL,ALL,755000,43
31-Dec-25,Core,ALL,ALL,ALL,NSW,ALL,ALL,ALL,11971880000,165410
31-Dec-25,Core,ALL,ALL,ALL,NT,ALL,ALL,ALL,599953000,5280
31-Dec-25,Core,ALL,ALL,ALL,OT,ALL,ALL,ALL,3112000,67
31-Dec-25,Core,ALL,ALL,ALL,QLD,ALL,ALL,ALL,8341791000,115539
31-Dec-25,Core,ALL,ALL,ALL,SA,ALL,ALL,ALL,3245582000,46539
31-Dec-25,Core,ALL,ALL,ALL,TAS,ALL,ALL,ALL,974024000,13240
31-Dec-25,Core,ALL,ALL,ALL,VIC,ALL,ALL,ALL,9434461000,151048
31-Dec-25,Core,ALL,ALL,ALL,WA,ALL,ALL,ALL,3371419000,47118
31-Dec-25,Missing,ALL,ALL,ALL,Missing,ALL,ALL,ALL,n/a,<11
31-Dec-25,Missing,ALL,ALL,ALL,ACT,ALL,ALL,ALL,0,6867
31-Dec-25,Missing,ALL,ALL,ALL,Missing,ALL,ALL,ALL,0,254
31-Dec-25,Missing,ALL,ALL,ALL,NSW,ALL,ALL,ALL,0,82520
31-Dec-25,Missing,ALL,ALL,ALL,NT,ALL,ALL,ALL,0,2539
31-Dec-25,Missing,ALL,ALL,ALL,OT,ALL,ALL,ALL,0,19
31-Dec-25,Missing,ALL,ALL,ALL,QLD,ALL,ALL,ALL,0,62091
31-Dec-25,Missing,ALL,ALL,ALL,SA,ALL,ALL,ALL,0,23363
31-Dec-25,Missing,ALL,ALL,ALL,TAS,ALL,ALL,ALL,0,5369
31-Dec-25,Missing,ALL,ALL,ALL,VIC,ALL,ALL,ALL,0,82920
31-Dec-25,Missing,ALL,ALL,ALL,WA,ALL,ALL,ALL,3716000,25030
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,ABI,ALL,322896000,20022
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,Autism,ALL,3620917000,306743
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,Cerebral Palsy,ALL,318619000,18367
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,Developmental delay,ALL,802495000,79810
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,Down Syndrome,ALL,171009000,11404
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,Global developmental delay,ALL,244514000,19256
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,Hearing Impairment,ALL,112161000,21687
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,Intellectual Disability,ALL,1328773000,93619
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,Missing,ALL,6756000,749
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,Multiple Sclerosis,ALL,152050000,12066
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,Other,ALL,162434000,13490
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,Other Neurological,ALL,406542000,26401
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,Other Physical,ALL,197723000,19649
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,Other Sensory/Speech,ALL,10871000,1692
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,Psychosocial disability,ALL,842435000,65307
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,Spinal Cord Injury,ALL,90542000,6240
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,Stroke,ALL,167064000,10976
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,Visual Impairment,ALL,70513000,9804
31-Dec-25,Capital,ALL,ALL,ALL,ALL,ALL,ABI,ALL,106765000,5959
31-Dec-25,Capital,ALL,ALL,ALL,ALL,ALL,Autism,ALL,68620000,6983
31-Dec-25,Capital,ALL,ALL,ALL,ALL,ALL,Cerebral Palsy,ALL,196777000,10218
31-Dec-25,Capital,ALL,ALL,ALL,ALL,ALL,Developmental delay,ALL,11270000,1783
31-Dec-25,Capital,ALL,ALL,ALL,ALL,ALL,Down Syndrome,ALL,25801000,2071
31-Dec-25,Capital,ALL,ALL,ALL,ALL,ALL,Global developmental delay,ALL,9596000,1046
31-Dec-25,Capital,ALL,ALL,ALL,ALL,ALL,Hearing Impairment,ALL,7953000,1814
31-Dec-25,Capital,ALL,ALL,ALL,ALL,ALL,Intellectual Disability,ALL,201085000,13087
31-Dec-25,Capital,ALL,ALL,ALL,ALL,ALL,Missing,ALL,523000,44
31-Dec-25,Capital,ALL,ALL,ALL,ALL,ALL,Multiple Sclerosis,ALL,82326000,5061
31-Dec-25,Capital,ALL,ALL,ALL,ALL,ALL,Other,ALL,109894000,5277
31-Dec-25,Capital,ALL,ALL,ALL,ALL,ALL,Other Neurological,ALL,212634000,10881
31-Dec-25,Capital,ALL,ALL,ALL,ALL,ALL,Other Physical,ALL,155206000,9425
31-Dec-25,Capital,ALL,ALL,ALL,ALL,ALL,Other Sensory/Speech,ALL,64000,23
31-Dec-25,Capital,ALL,ALL,ALL,ALL,ALL,Psychosocial disability,ALL,28041000,2021
31-Dec-25,Capital,ALL,ALL,ALL,ALL,ALL,Spinal Cord Injury,ALL,106739000,4450
31-Dec-25,Capital,ALL,ALL,ALL,ALL,ALL,Stroke,ALL,84779000,4885
31-Dec-25,Capital,ALL,ALL,ALL,ALL,ALL,Visual Impairment,ALL,11824000,1341
31-Dec-25,Core,ALL,ALL,ALL,ALL,ALL,Missing,ALL,n/a,<11
31-Dec-25,Core,ALL,ALL,ALL,ALL,ALL,ABI,ALL,3011595000,19962
31-Dec-25,Core,ALL,ALL,ALL,ALL,ALL,Autism,ALL,6875837000,207731
31-Dec-25,Core,ALL,ALL,ALL,ALL,ALL,Cerebral Palsy,ALL,2660070000,17036
31-Dec-25,Core,ALL,ALL,ALL,ALL,ALL,Developmental delay,ALL,78059000,24602
31-Dec-25,Core,ALL,ALL,ALL,ALL,ALL,Down Syndrome,ALL,1415936000,11536
31-Dec-25,Core,ALL,ALL,ALL,ALL,ALL,Global developmental delay,ALL,61147000,7548
31-Dec-25,Core,ALL,ALL,ALL,ALL,ALL,Hearing Impairment,ALL,163068000,16731
31-Dec-25,Core,ALL,ALL,ALL,ALL,ALL,Intellectual Disability,ALL,9463109000,86288
31-Dec-25,Core,ALL,ALL,ALL,ALL,ALL,Missing,ALL,6906000,323
31-Dec-25,Core,ALL,ALL,ALL,ALL,ALL,Multiple Sclerosis,ALL,1020580000,12034
31-Dec-25,Core,ALL,ALL,ALL,ALL,ALL,Other,ALL,983569000,11234
31-Dec-25,Core,ALL,ALL,ALL,ALL,ALL,Other Neurological,ALL,3539138000,25818
31-Dec-25,Core,ALL,ALL,ALL,ALL,ALL,Other Physical,ALL,1181788000,19101
31-Dec-25,Core,ALL,ALL,ALL,ALL,ALL,Other Sensory/Speech,ALL,11048000,691
31-Dec-25,Core,ALL,ALL,ALL,ALL,ALL,Psychosocial disability,ALL,5181104000,64450
31-Dec-25,Core,ALL,ALL,ALL,ALL,ALL,Spinal Cord Injury,ALL,935271000,6469
31-Dec-25,Core,ALL,ALL,ALL,ALL,ALL,Stroke,ALL,1494215000,11036
31-Dec-25,Core,ALL,ALL,ALL,ALL,ALL,Visual Impairment,ALL,421776000,10331
31-Dec-25,Missing,ALL,ALL,ALL,ALL,ALL,Missing,ALL,n/a,<11
31-Dec-25,Missing,ALL,ALL,ALL,ALL,ALL,ABI,ALL,177000,5873
31-Dec-25,Missing,ALL,ALL,ALL,ALL,ALL,Autism,ALL,244000,108573
31-Dec-25,Missing,ALL,ALL,ALL,ALL,ALL,Cerebral Palsy,ALL,0,3916
31-Dec-25,Missing,ALL,ALL,ALL,ALL,ALL,Developmental delay,ALL,0,66372
31-Dec-25,Missing,ALL,ALL,ALL,ALL,ALL,Down Syndrome,ALL,0,1868
31-Dec-25,Missing,ALL,ALL,ALL,ALL,ALL,Global developmental delay,ALL,0,10798
31-Dec-25,Missing,ALL,ALL,ALL,ALL,ALL,Hearing Impairment,ALL,0,18431
31-Dec-25,Missing,ALL,ALL,ALL,ALL,ALL,Intellectual Disability,ALL,0,20596
31-Dec-25,Missing,ALL,ALL,ALL,ALL,ALL,Missing,ALL,0,836
31-Dec-25,Missing,ALL,ALL,ALL,ALL,ALL,Multiple Sclerosis,ALL,0,2468
31-Dec-25,Missing,ALL,ALL,ALL,ALL,ALL,Other,ALL,0,6545
31-Dec-25,Missing,ALL,ALL,ALL,ALL,ALL,Other Neurological,ALL,0,12476
31-Dec-25,Missing,ALL,ALL,ALL,ALL,ALL,Other Physical,ALL,0,9216
31-Dec-25,Missing,ALL,ALL,ALL,ALL,ALL,Other Sensory/Speech,ALL,0,2530
31-Dec-25,Missing,ALL,ALL,ALL,ALL,ALL,Psychosocial disability,ALL,3294000,12624
31-Dec-25,Missing,ALL,ALL,ALL,ALL,ALL,Spinal Cord Injury,ALL,0,1851
31-Dec-25,Missing,ALL,ALL,ALL,ALL,ALL,Stroke,ALL,0,3351
31-Dec-25,Missing,ALL,ALL,ALL,ALL,ALL,Visual Impairment,ALL,0,2648
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,ALL,0 to 8,2163615000,171971
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,ALL,15 to 18,781582000,72591
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,ALL,19 to 24,840106000,63687
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,ALL,25 to 34,760820000,61367
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,ALL,35 to 44,661521000,51818
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,ALL,45 to 54,734546000,56798
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,ALL,55 to 64,899411000,69587
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,ALL,65+,521158000,42484
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,ALL,9 to 14,1665558000,146979
31-Dec-25,Capital,ALL,ALL,ALL,ALL,ALL,ALL,0 to 8,78173000,8355
31-Dec-25,Capital,ALL,ALL,ALL,ALL,ALL,ALL,15 to 18,36409000,3026
31-Dec-25,Capital,ALL,ALL,ALL,ALL,ALL,ALL,19 to 24,67549000,3648
31-Dec-25,Capital,ALL,ALL,ALL,ALL,ALL,ALL,25 to 34,138267000,6593
31-Dec-25,Capital,ALL,ALL,ALL,ALL,ALL,ALL,35 to 44,171637000,8609
31-Dec-25,Capital,ALL,ALL,ALL,ALL,ALL,ALL,45 to 54,241434000,13031
31-Dec-25,Capital,ALL,ALL,ALL,ALL,ALL,ALL,55 to 64,388047000,21757
31-Dec-25,Capital,ALL,ALL,ALL,ALL,ALL,ALL,65+,235966000,15463
31-Dec-25,Capital,ALL,ALL,ALL,ALL,ALL,ALL,9 to 14,62416000,5887
31-Dec-25,Core,ALL,ALL,ALL,ALL,ALL,ALL,Missing,n/a,<11
31-Dec-25,Core,ALL,ALL,ALL,ALL,ALL,ALL,0 to 8,694954000,76320
31-Dec-25,Core,ALL,ALL,ALL,ALL,ALL,ALL,15 to 18,1571933000,49882
31-Dec-25,Core,ALL,ALL,ALL,ALL,ALL,ALL,19 to 24,3928620000,54657
31-Dec-25,Core,ALL,ALL,ALL,ALL,ALL,ALL,25 to 34,5823800000,60075
31-Dec-25,Core,ALL,ALL,ALL,ALL,ALL,ALL,35 to 44,5345331000,51348
31-Dec-25,Core,ALL,ALL,ALL,ALL,ALL,ALL,45 to 54,6058341000,56675
31-Dec-25,Core,ALL,ALL,ALL,ALL,ALL,ALL,55 to 64,8160315000,70112
31-Dec-25,Core,ALL,ALL,ALL,ALL,ALL,ALL,65+,5336792000,43995
31-Dec-25,Core,ALL,ALL,ALL,ALL,ALL,ALL,9 to 14,1584129000,89857
31-Dec-25,Missing,ALL,ALL,ALL,ALL,ALL,ALL,Missing,n/a,<11
31-Dec-25,Missing,ALL,ALL,ALL,ALL,ALL,ALL,0 to 8,0,81499
31-Dec-25,Missing,ALL,ALL,ALL,ALL,ALL,ALL,15 to 18,0,32014
31-Dec-25,Missing,ALL,ALL,ALL,ALL,ALL,ALL,19 to 24,183000,20461
31-Dec-25,Missing,ALL,ALL,ALL,ALL,ALL,ALL,25 to 34,830000,14873
31-Dec-25,Missing,ALL,ALL,ALL,ALL,ALL,ALL,35 to 44,903000,10894
31-Dec-25,Missing,ALL,ALL,ALL,ALL,ALL,ALL,45 to 54,1113000,13071
31-Dec-25,Missing,ALL,ALL,ALL,ALL,ALL,ALL,55 to 64,609000,21317
31-Dec-25,Missing,ALL,ALL,ALL,ALL,ALL,ALL,65+,77000,20368
31-Dec-25,Missing,ALL,ALL,ALL,ALL,ALL,ALL,9 to 14,0,76475
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,ABI,0 to 8,n/a,<11
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,ABI,15 to 18,n/a,<11
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,ABI,19 to 24,150000,12
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,ABI,25 to 34,843000,22
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,ABI,35 to 44,505000,42
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,ABI,45 to 54,660000,52
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,ABI,55 to 64,1066000,67
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,ABI,65+,486000,38
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,ABI,9 to 14,n/a,<11
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Autism,0 to 8,11131000,780
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Autism,15 to 18,6717000,802
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Autism,19 to 24,6956000,678
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Autism,25 to 34,4237000,506
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Autism,35 to 44,1630000,188
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Autism,45 to 54,1115000,109
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Autism,55 to 64,463000,35
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Autism,65+,n/a,<11
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Autism,9 to 14,18034000,1739
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Cerebral Palsy,0 to 8,590000,29
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Cerebral Palsy,15 to 18,426000,28
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Cerebral Palsy,19 to 24,560000,50
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Cerebral Palsy,25 to 34,767000,62
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Cerebral Palsy,35 to 44,418000,31
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Cerebral Palsy,45 to 54,411000,34
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Cerebral Palsy,55 to 64,277000,21
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Cerebral Palsy,65+,n/a,<11
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Cerebral Palsy,9 to 14,532000,37
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Developmental delay,0 to 8,10704000,1172
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Developmental delay,9 to 14,331000,58
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Down Syndrome,0 to 8,362000,20
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Down Syndrome,15 to 18,208000,16
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Down Syndrome,19 to 24,639000,29
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Down Syndrome,25 to 34,450000,46
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Down Syndrome,35 to 44,391000,33
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Down Syndrome,45 to 54,349000,30
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Down Syndrome,55 to 64,220000,18
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Down Syndrome,65+,n/a,<11
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Down Syndrome,9 to 14,392000,21
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Global developmental delay,0 to 8,3150000,251
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Global developmental delay,9 to 14,80000,21
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Hearing Impairment,0 to 8,592000,83
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Hearing Impairment,15 to 18,102000,28
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Hearing Impairment,19 to 24,90000,20
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Hearing Impairment,25 to 34,45000,27
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Hearing Impairment,35 to 44,86000,33
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Hearing Impairment,45 to 54,45000,13
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Hearing Impairment,55 to 64,115000,34
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Hearing Impairment,65+,42000,22
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Hearing Impairment,9 to 14,232000,53
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Intellectual Disability,0 to 8,1159000,64
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Intellectual Disability,15 to 18,2071000,180
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Intellectual Disability,19 to 24,3035000,214
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Intellectual Disability,25 to 34,2781000,211
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Intellectual Disability,35 to 44,1708000,130
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Intellectual Disability,45 to 54,1813000,134
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Intellectual Disability,55 to 64,1146000,109
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Intellectual Disability,65+,564000,43
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Intellectual Disability,9 to 14,3083000,232
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Missing,0 to 8,n/a,<11
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Missing,19 to 24,n/a,<11
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Missing,35 to 44,n/a,<11
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Missing,9 to 14,n/a,<11
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Multiple Sclerosis,19 to 24,n/a,<11
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Multiple Sclerosis,25 to 34,70000,12
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Multiple Sclerosis,35 to 44,413000,34
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Multiple Sclerosis,45 to 54,688000,70
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Multiple Sclerosis,55 to 64,975000,71
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Multiple Sclerosis,65+,714000,63
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Other,0 to 8,229000,21
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Other,15 to 18,n/a,<11
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Other,19 to 24,n/a,<11
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Other,25 to 34,n/a,<11
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Other,35 to 44,202000,18
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Other,45 to 54,408000,33
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Other,55 to 64,761000,61
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Other,65+,380000,40
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Other,9 to 14,226000,27
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Other Neurological,0 to 8,132000,11
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Other Neurological,15 to 18,129000,16
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Other Neurological,19 to 24,198000,17
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Other Neurological,25 to 34,226000,19
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Other Neurological,35 to 44,475000,29
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Other Neurological,45 to 54,788000,60
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Other Neurological,55 to 64,1350000,125
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Other Neurological,65+,2942000,163
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Other Neurological,9 to 14,315000,22
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Other Physical,0 to 8,n/a,<11
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Other Physical,15 to 18,95000,24
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Other Physical,19 to 24,76000,17
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Other Physical,25 to 34,266000,34
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Other Physical,35 to 44,359000,39
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Other Physical,45 to 54,798000,91
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Other Physical,55 to 64,1010000,107
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Other Physical,65+,1204000,134
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Other Physical,9 to 14,302000,28
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Other Sensory/Speech,0 to 8,n/a,<11
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Other Sensory/Speech,15 to 18,n/a,<11
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Other Sensory/Speech,19 to 24,n/a,<11
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ACT,Other Sensory/Speech,25 to 34,n/a,<11
